ticker,Open,ROE (%),52-Week Change (%),52 Week Range,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),1y Target Est
CVS,63.3,8.9,-19.31,51.72 - 82.15,"8,171,668",82.55B,1,17.39,3.65,69.83
BEN,29.56,11.63,-6.07,25.57 - 35.82,"3,199,200",14.96B,1.08,10.95,2.71,30.38
SRE,142.02,12.15,20.87,104.88 - 144.93,"1,356,979",38.92B,0.3,20.41,6.94,149.5
UNH,232.82,24.2,-10.96,208.07 - 287.94,"3,751,852",222.12B,0.7,17.61,13.31,294.58
CTXS,95.66,92.36,-12.82,90.28 - 112.51,"2,032,330",12.61B,0.72,25.89,3.72,109.07
HON,167.04,39.55,4.38,123.48 - 178.47,"2,570,530",119.6B,1.23,17.58,9.45,183.84
PCAR,71.03,25.76,-0.24,53.43 - 73.00,"1,676,344",24.57B,1.39,10.45,6.79,70.79
QCOM,77.58,24.3,4.44,49.10 - 90.34,"10,720,426",95.03B,1.51,28.61,2.73,78.99
CPB,46.07,38.15,16.67,32.03 - 48.03,"2,234,634",14.07B,0.79,66.82,0.7,43.75
LMT,388.9,346.67,14.4,241.18 - 394.60,"1,056,671",110.9B,1.18,19.14,20.52,395.53
PEG,60.82,10.13,14.52,49.23 - 62.22,"2,271,684",30.77B,0.36,21.13,2.88,63.79
ADM,41.43,7.01,-15.44,36.45 - 52.07,"3,719,922",23.35B,1.02,18.05,2.32,49.3
HI,31.25,19.56,-39.43,26.01 - 53.41,"737,787",2B,1.34,14.38,2.22,50.5
SUN,31.81,24.31,11.09,23.80 - 34.09,"283,611",2.58B,0.83,20.39,1.53,31.92
XOM,75.04,9.41,-11.84,64.65 - 87.36,"10,744,490",312.36B,1.21,17.79,4.15,80.73
IR,124.03,20.84,19.84,85.15 - 128.31,"1,268,131",29.94B,1.17,21.47,5.77,134.19
V,176.17,34.84,19.29,121.60 - 187.05,"6,793,855",394.9B,0.81,33.85,5.21,201.33
ED,89.89,8.29,12.3,73.30 - 91.58,"1,610,698",29.87B,0.18,21.43,4.2,88.07
PHM,35.21,19.49,30.25,20.64 - 35.55,"3,557,887",9.63B,0.49,10.68,3.29,33.88
SWK,144.94,8.16,-4.73,106.41 - 155.22,"1,026,041",21.79B,1.51,32.36,4.44,161.71
SYY,77.95,65.88,5.67,59.44 - 78.45,"2,675,119",39.61B,0.61,24.12,3.2,74.67
ZION,44.45,11.3,-12.29,38.08 - 52.82,"2,364,149",8B,1.52,10.88,4.15,48.83
DOV,99.05,21.36,11.78,65.83 - 103.47,"913,026",14.43B,1.73,24.28,4.09,107.55
