Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,ticker,url
48.92,48.46,48.81 x 1100,48.82 x 2900,48.42 - 48.97,43.02 - 55.81,"13,252,702","19,720,512",215.41B,1.21,10.09,4.84,2019-10-15,2.04 (4.17%),2019-08-08,48.4,WFC,http://finance.yahoo.com/quote/WFC?p=WFC
91.05,91.04,90.90 x 800,90.92 x 900,90.42 - 91.29,60.16 - 92.13,"368,535","898,749",11.87B,1.17,24.65,3.69,2019-10-29,1.60 (1.76%),2019-09-27,99.37,FMC,http://finance.yahoo.com/quote/FMC?p=FMC
53.60,52.30,52.92 x 1000,52.92 x 900,52.21 - 53.96,46.10 - 66.03,"1,402,705","2,128,777",16.06B,1.64,7.46,7.10,2019-10-16 to 2019-10-21,1.60 (2.99%),2019-09-26,59.46,NUE,http://finance.yahoo.com/quote/NUE?p=NUE
39.29,39.23,39.35 x 800,39.31 x 800,39.06 - 39.60,25.48 - 44.55,"1,106,047","1,223,973",7.51B,1.06,26.62,1.48,2019-11-04 to 2019-11-08,0.34 (0.87%),2019-09-10,45.55,G,http://finance.yahoo.com/quote/G?p=G
46.90,46.38,46.58 x 800,46.59 x 1000,46.14 - 46.99,40.52 - 54.27,"1,905,337","5,003,141",43.98B,1.05,12.13,3.85,2019-10-16,1.24 (2.64%),2019-07-26,46.36,BK,http://finance.yahoo.com/quote/BK?p=BK
127.30,126.26,122.24 x 1000,122.24 x 800,122.02 - 126.57,104.86 - 152.95,"748,870","1,146,365",13.05B,0.54,36.61,3.34,2019-11-04 to 2019-11-08,3.00 (2.36%),2019-09-20,134.85,IFF,http://finance.yahoo.com/quote/IFF?p=IFF
52.70,52.11,52.72 x 800,52.73 x 1300,52.03 - 53.22,43.33 - 83.28,"2,155,066","4,309,914",8.42B,1.12,11.68,4.53,2019-11-19,2.68 (5.09%),2019-09-10,55.71,KSS,http://finance.yahoo.com/quote/KSS?p=KSS
56.76,56.42,57.03 x 800,57.04 x 800,56.22 - 57.14,51.90 - 73.28,"758,887","1,300,855",6.72B,1.42,15.03,3.80,2019-10-21 to 2019-10-25,1.24 (2.18%),2019-08-22,61.7,RHI,http://finance.yahoo.com/quote/RHI?p=RHI
7.21,7.65,7.65 x 2200,7.66 x 1100,7.47 - 7.90,6.55 - 18.82,"9,868,133","6,568,796",3.93B,1.24,19.33,0.40,2019-10-29 to 2019-11-04,1.23 (17.32%),2019-07-25,11.9,AM,http://finance.yahoo.com/quote/AM?p=AM
25.07,27.24,28.10 x 1400,28.13 x 4000,26.73 - 28.42,20.37 - 41.94,"13,313,504","6,752,279",11.37B,2.30,3.28,8.56,2019-11-04 to 2019-11-08,0.36 (1.44%),2019-09-12,33.88,DVN,http://finance.yahoo.com/quote/DVN?p=DVN
