ticker,ticker_original,currprice,roe,pctchg52wks,beta,peratio,eps,avgvol,beta_impute,currprice_impute,pctchg52wks_impute,avgvol_impute,peratio_impute,roe_impute,eps_impute,ticker_original,November/16/2019,before_2months
WEI,EMN,74.91,15.63,-23.59,1.39,11.44,6.5,6071918.579,0,0,0,1,0,0,0,EMN,80.5,74.91
MUV,WMT,116.54,17.51,21.1,0.65,26.14,4.42,5652846,0,0,0,0,0,0,0,WMT,120.68,116.54
GWP,TGT,107.25,27.34,21.99,0.62,17.71,6.04,5479538,0,0,0,0,0,0,0,TGT,112.05,107.25
JIN,ODP,1.67,1.46,-48.8,2.32,29.82,0.057,5387124.919,0,0,0,1,0,0,0,ODP,2.41,1.67
DSY,JWN,34.29,51.82,-44.47,0.69,11.74,3.03,5290293,0,0,0,0,0,0,0,JWN,37.99,34.29
CRM,BK,46.38,9.48,-9.14,1.05,12.13,3.85,5003141,0,0,0,0,0,0,0,BK,48.56,46.38
BRW,AES,15.84,17.04,16.36,0.72,26.62,0.6,4943719,0,0,0,0,0,1,0,AES,18.4,15.84
MQR,ABT,83.91,9.21,-16.67,0.81,51.24,1.63,4935190,0,0,1,0,0,0,0,ABT,84.67,83.91
OJC,MTG,12.63,17.94,0.85,1.4,7.29,3.15,4589215,0,0,0,0,0,0,1,MTG,14.21,12.63
QJW,BBT,52.52,10.8,5.71,1.22,13.07,4.04,4476719,0,0,0,0,0,0,0,BBT,54.9,52.52
CZK,GIS,53.7,23.52,23.59,0.9,18.8,2.9,3954166,0,0,0,0,0,0,0,GIS,52.51,53.7
ZVN,INTC,51.9,27.24,13.23,0.7,12.13,4.3,3865301.753,0,0,0,1,0,0,0,INTC,58.17,51.9
DBK,IBM,142.56,47.98,-0.36,1.56,14.7,9.69,3778844,0,0,1,0,0,0,0,IBM,134.39,142.56
NNT,UNH,232.82,24.2,-10.96,0.7,17.61,13.31,3751852,0,0,0,0,0,0,1,UNH,256.11,232.82
TCN,ADM,41.43,7.01,-15.44,1.02,18.05,2.32,3719922,0,0,0,0,0,0,0,ADM,42.93,41.43
NDS,PHM,35.21,19.49,30.25,0.49,10.68,3.29,3557887,0,0,0,0,0,0,0,PHM,39.5,35.21
QVI,LUV,54.39,24.06,-11.48,1.74,12.96,4.31,3552115,0,0,0,0,0,0,0,LUV,57.89,54.39
YZN,HON,167.04,39.55,4.38,1.23,17.58,9.45,3331347.099,0,0,0,1,0,0,0,HON,180.91,167.04
YWF,AFL,51.53,11.97,9.84,0.51,12.62,4.1,3281522,0,0,0,0,0,0,0,AFL,54.41,51.53
XHN,SLM,9.22,19.22,-18.03,1.69,7.67,2.47,3241073,0,0,0,0,0,0,1,SLM,8.74,9.22
BQU,AMGN,196.16,61.92,-4.08,0.8,15.42,12.6,3182452,0,0,0,0,0,0,1,AMGN,219.59,196.16
ZUV,NI,29.18,2.88,12.04,0.31,87.18,0.33,2997801,0,0,0,0,1,0,0,NI,26.3,29.18
JIG,MCD,209.3,44.43,31.46,0.33,27.24,7.61,2859987,0,0,0,0,0,1,0,MCD,194.57,209.3
GCA,CAH,47.5,22.01,-8.75,1.65,10.77,4.53,2853655,0,0,0,0,0,0,0,CAH,54.93,47.5
QVN,DUK,93.83,7.14,13.67,0.12,20.64,5.29,2708131,0,0,0,0,0,0,1,DUK,88.64,93.83
APQ,SYY,77.95,51.47,5.67,0.61,24.12,3.2,2675119,0,0,0,0,0,1,0,SYY,81.85,77.95
MRW,K,63.4,26.54,-13.06,0.77,11.66,2.49,2661749,0,0,0,0,1,0,0,K,63.97,63.4
SBP,A,77.32,23.02,11.93,1.28,23.07,3.34,2564639,0,0,0,0,0,0,0,A,76.93,77.32
RTI,ZION,44.45,11.3,-12.29,1.52,10.88,4.15,2364149,0,0,0,0,0,0,0,ZION,49.62,44.45
DNK,PEG,60.82,10.13,14.52,0.88,21.13,2.88,2271684,1,0,0,0,0,0,0,PEG,60.65,60.82
OYY,BEN,29.56,11.63,-6.07,1.08,10.95,2.71,2259531.166,0,0,0,1,0,0,0,BEN,27.49,29.56
AGM,BLL,72.76,13.81,60.73,0.52,47.47,1.53,2258044,0,0,0,0,0,0,0,BLL,65.88,72.76
HWZ,CPB,46.07,38.15,16.67,0.79,66.82,0.7,2234634,0,0,0,0,1,0,0,CPB,46.93,46.07
LTX,NUE,52.3,22.81,-17.29,1.18,7.46,7.1,2128777,1,0,0,0,0,0,0,NUE,54.85,52.3
FMV,CTXS,95.66,92.36,-12.82,0.72,25.89,3.72,2039308.076,0,0,0,1,0,0,0,CTXS,111.9,95.66
QAD,HLT,95.06,57.45,17.97,0.92,34.48,2.71,1945236,0,0,0,0,0,0,0,HLT,99.49,95.06
MTM,OMC,79.58,45.88,13.95,0.39,13.27,5.95,1795853,0,0,0,0,0,0,0,OMC,79.07,79.58
RGJ,PCAR,71.03,25.76,-0.24,1.39,10.45,6.79,1676344,0,0,0,0,0,0,0,PCAR,80.25,71.03
BLH,KBH,30.21,12.74,-6.14,1.18,12.02,2.52,1667015,0,0,1,0,0,0,0,KBH,34.6,30.21
YSR,ED,89.89,8.29,12.3,0.18,21.43,4.2,1610698,0,0,0,0,0,0,0,ED,87.3,89.89
FXO,CB,158.68,7.21,14.36,0.6,19.44,8.16,1576322,0,0,0,0,0,0,0,CB,151.74,158.68
ECK,KLAC,148.76,54.68,45.95,1.56,20.19,7.49,1561912,0,0,1,0,0,0,0,KLAC,178.83,148.76
XVK,TMO,295.41,12.84,23.52,1.14,33.75,8.76,1477690,0,0,0,0,0,0,0,TMO,302.93,295.41
GHC,KSS,52.11,13.45,-33.25,1.12,11.68,4.53,1448401.098,0,0,0,1,0,0,0,KSS,57.91,52.11
CCL,YUM,110.48,64.66,25.2,0.41,26.33,4.2,1436361,0,0,0,0,0,1,0,YUM,98.63,110.48
XPZ,SRE,142.02,12.15,20.87,0.3,20.41,6.94,1356979,0,0,0,0,0,0,0,SRE,145.31,142.02
DQM,RHI,56.42,40.85,-20.74,1.42,15.03,3.8,1300855,0,0,0,0,0,0,0,RHI,58.15,56.42
LTF,IR,124.03,20.84,19.84,1.17,21.47,5.77,1268131,0,0,0,0,0,0,0,IR,128.31,124.03
GSU,G,39.23,19.95,-8.48,1.06,26.62,1.48,1223973,0,0,1,0,0,0,0,G,40.47,39.23
KTR,ECL,197.28,18.68,0.24,0.67,37.43,5.12,1185842,0,0,1,0,0,0,0,ECL,192.25,197.28
QHF,IFF,126.26,8.94,-11.73,0.54,36.61,3.34,1146365,0,0,0,0,0,0,0,IFF,134.26,126.26
XMI,UN,59.77,76.18,5.9,0.35,23.57,2.53,1081044,0,0,0,0,0,0,0,UN,58.73,59.77
JWJ,LMT,388.9,87.33,-9.11,1.18,19.14,15.63,1056671,0,0,1,0,0,0,0,LMT,392.27,388.9
QAL,SWK,144.94,8.16,-4.73,1.19,32.36,4.44,1026041,1,0,0,0,0,0,0,SWK,157.62,144.94
BCX,SYK,217,33.17,23.66,1.01,17.93,9.35,1007400,0,0,0,0,1,0,0,SYK,204.38,217
CRH,DOV,99.05,21.36,11.78,1.73,24.28,4.09,913026,0,0,0,0,0,0,0,DOV,109.61,99.05
QHY,FMC,91.04,24.98,22.04,1.17,24.65,3.69,898749,0,0,0,0,0,0,0,FMC,97.68,91.04
YTU,PH,180.36,25.57,-5.14,1.81,15.61,11.48,842249,0,0,0,0,0,0,0,PH,196.39,180.36
MQA,GPC,98.02,21.84,-3.38,0.86,18.14,5.38,758092,0,0,0,0,0,0,0,GPC,104.43,98.02
OGS,HI,31.25,19.56,-39.43,1.34,15.44,2.22,737787,0,0,0,0,1,0,0,HI,32.09,31.25
HQG,CINF,112.56,14.36,43.91,0.55,15.09,6.69,665549,0,0,0,0,0,0,1,CINF,108.15,112.56
WYX,BR,123.4,43.4,-7.75,0.68,30.75,4.06,645793,0,0,0,0,0,0,0,BR,119.84,123.4
DKB,DDS,66.35,7.86,-16.86,1.22,11.45,4.94,562103,0,0,0,0,1,0,0,DDS,78.44,66.35
SQK,R,53.04,11.51,-29.2,2.06,11.65,5.91,511126,0,0,0,0,1,0,0,R,53.05,53.04
BYI,LSI,102.39,10.23,8.14,0.29,23.06,4.47,365914,0,0,0,0,0,0,0,LSI,110.12,102.39
WRZ,SUN,31.81,24.31,11.09,0.91,20.39,1.53,283611,1,0,0,0,0,0,0,SUN,31.85,31.81
