name,ticker,beta,currprice,pctchg52wks,avgvol,peratio,roe,marketcap,eps,beta_impute,currprice_impute,pctchg52wks_impute,avgvol_impute,peratio_impute,roe_impute,marketcap_impute,eps_impute
"Harley-Davidson, Inc.",HDI,1.3,45.45,-4.94,2.1630000000000003,33.74,27.43,13816.35,1.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hershey Foods Corp.,HSY,-0.35,64.14,19.05,0.733,24.0,31.11,8702.964,2.6719999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Household International,HI,0.94,54.49,10.36,2.9410000000000003,13.83,23.99,25160.54,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huntington Bancshares,HBAN,0.77,15.62,6.34,0.7559999999999999,20.77,8.04,3922.3379999999997,0.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IMS Health, Inc.",RX,0.61,22.95,-2.34,2.381,26.69,112.72,6836.438,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Int'l Business Machines,IBM,1.31,108.62,16.4,10.357999999999999,24.12,38.66,188636.0,4.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
International Game Tech.,IGT,0.27,50.7,36.57,1.2429999999999999,18.31,121.99,3798.038,2.7689999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"J.C. Penney Company, Inc.",JCP,0.45,23.3,107.11,1.844,70.86666229128666,-7.19,6140.063,-1.6569999999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KeySpan Corporation,KSE,0.19,33.63,-5.93,0.312,19.45,8.27,4654.594,1.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kinder Morgan, Inc.",KMI,0.14,50.12,31.9,0.529,23.81,13.89,5784.149,2.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kohl's Corporation,KSS,1.0,57.32,9.05,1.4909999999999999,47.06,19.2,19179.27,1.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Leggett & Platt, Inc.",LEG,0.95,22.05,37.27,0.38299999999999995,22.36,10.83,4334.016,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lehman Brothers Holdings,LEH,2.31,64.7,0.41,2.366,12.05,20.12,15418.66,5.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Limited, Inc., The",LTD,1.28,11.2,-54.52,1.745,12.7,17.37,4800.309,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lockheed Martin Corp.,LMT,0.18,49.0,40.0,4.812,30.78,9.28,21363.51,1.5919999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lowe's Companies Inc.,LOW,0.99,33.81,56.12,4.409,29.35,16.08,26139.39,1.1520000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSI Logic Corporation,LSI,2.24,16.71,-45.99,5.667999999999999,100.7744409238824,-26.0,6115.141,-1.9140000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Mattel, Inc.",MAT,0.12,19.0,49.02,2.2319999999999998,29.64,19.49,8200.97,0.6409999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxim Integrated Products,MXIM,2.01,45.29,-27.75,5.131,43.38,21.91,15008.56,1.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McDonald's Corporation,MCD,0.68,27.28,-12.53,4.624,19.78,20.08,35113.62,1.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McKesson Corporation,MCK,0.29,39.44,39.61,1.296,1195.15,0.45,11261.11,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meredith Corporation,MDP,0.58,32.95,6.93,0.092,26.59,14.46,1640.086,1.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Motorola, Inc.",MOT,1.36,16.95,-24.67,12.526,77.61687521330849,-14.83,37343.56,-1.162,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NCR Corporation,NCR,1.13,35.24,-16.47,0.385,14.64,12.95,3424.2709999999997,2.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New York Times Co., The",NYT,0.68,41.26,14.61,0.5429999999999999,25.42,20.81,6475.84,1.6230000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newell Rubbermaid Inc.,NWL,0.65,25.89,35.81,0.552,21.15,13.81,6903.905,1.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newmont Mining Corp.,NEM,0.62,21.66,56.11,2.013,18.554702952024716,-5.06,4241.634,-0.37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Nordstrom, Inc.",JWN,1.32,14.9,-5.77,0.467,22.92,7.13,1997.703,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk Southern Corp.,NSC,0.58,16.63,22.06,1.166,25.62,4.28,6407.971,0.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Trust Corp.,NTRS,1.23,51.35,-40.29,1.38,23.25,21.13,11431.02,2.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nucor Corporation,NUE,1.03,42.78,26.99,0.679,20.0,7.8,3326.744,2.1390000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Palm, Inc.",PALM,0.979601901434926,2.52,-95.32,11.686,25.94523971772345,-42.98,1431.37,-0.7170000000000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"PeopleSoft, Incorporated",PSFT,1.7,27.95,-36.57,11.562000000000001,49.91,15.53,8455.769,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PepsiCo, Inc.",PEP,0.79,48.15,-1.99,4.2219999999999995,32.21,32.21,84242.95,1.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pharmacia Corporation,PHA,0.34,40.09,-23.82,9.304,32.0,14.01,52177.94,1.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC Financial Services,PNC,0.78,56.39,-15.76,1.131,14.22,17.28,16014.76,3.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"QUALCOMM, Inc.",QCOM,1.79,52.3,-23.23,16.584,81.53816791940477,-6.45,39770.38,-0.488,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rockwell Int'l Corp.,ROK,0.91,14.25,-62.19,0.5539999999999999,10.25,10.31,2616.029,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Royal Dutch Petroleum Co.,RD,0.81,52.1,-12.53,2.715,13.62,23.33,111718.0,3.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabre Holdings Corp.,TSG,1.2,26.9,-15.94,1.1079999999999999,18.615361345521045,-0.75,3603.8740000000003,-0.055,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SAFECO Corporation,SAFC,0.37,32.0,30.28,0.833,18.827808737305634,-25.21,4088.64,-8.176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sanmina Corporation,SA,2.4,15.2,-69.69,8.311,153.54,2.15,4873.409000000001,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sealed Air Corp. (NEW),SEE,0.81,40.83,-17.93,0.359,27.48,23.48,3418.9,1.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sears, Roebuck & Co.",S,0.64,39.18,31.92,2.384,19.15,10.73,12722.57,2.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthTrust Corporation,SOTR,0.87,22.61,42.14,1.4069999999999998,14.56,15.57,7748.108,1.5530000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,LUV,0.85,16.0,-16.71,3.075,21.42,16.66,12214.43,0.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sysco Corporation,SYY,0.53,24.65,-5.65,2.006,27.15,30.9,16566.82,0.9079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Torchmark Corp.,TMK,0.63,37.79,11.76,0.46399999999999997,12.07,17.52,4721.294,3.1319999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
