ticker,beta,currprice,pctchg52wks,avgvol,peratio,roe,marketcap,eps,beta_impute,currprice_impute,pctchg52wks_impute,avgvol_impute,peratio_impute,roe_impute,marketcap_impute,eps_impute
KRI,0.59,57.65,15.59,0.233,28.26,5.46,43040910,0.979,0,0,0,0,1,0,0,0
GWW,0.69,43,39.55,0.429,25.25,10.4,40603180,1.703,0,0,0,0,0,0,0,1
WHR,0.81,60.6,43.43,0.773,51.23,5.03,40553520,1.183,0,0,0,0,0,0,0,0
SUN,0.6,38.82,32.72,0.525,5.94,26.52,31393730,6.534,0,0,0,0,0,1,0,0
DNY,0.6,25.94,16.58,0.251,23.35,11.7,30100520,1.111,0,0,0,0,0,0,0,0
ASH,0.68,41.13,29.03,0.251,7.12,19.55,28593580,5.779,0,0,0,0,1,0,0,0
COL,0.83,14.49,-8.21,0.447,10.36,20.5,26599290,1.399,0,0,1,0,0,0,0,0
W,0.85,25.35,-11.64,0.189,15.94,6.89,25932290,1.59,0,0,0,0,0,0,0,0
MYG,1.41,28.35,1.48,0.291,34.03,16.49,21606950,0.833,0,0,0,0,0,1,0,0
JWN,1.32,14.9,-5.77,0.467,22.92,7.13,19977030,0.65,0,0,0,0,0,0,1,0
PHM,0.81,32.24,1.34,0.367,5.51,18.61,18994840,5.846,0,0,0,0,0,0,0,1
ADSK,1.37,34.8,57.29,0.346,20.79,19.88,18826800,1.674,0,0,0,0,0,0,0,0
BOL,0.35,33.75,-12.62,0.501,23.89,2.17,18095060,0.412,0,0,0,0,1,0,0,0
RDC,1.58,18.2,-25.53,1.647,15.33,10.53,17199000,1.187,1,0,0,0,0,0,0,0
MDP,0.58,32.95,6.93,0.092,26.59,14.46,16400860,1.239,0,0,0,0,0,0,1,0
S,0.88,26.81,7.51,0.161,27.33,6.9,15549000,0.981,0,0,0,1,0,0,0,0
WIN,0.51,11.01,-43.36,0.4,26.59,7.35,15475330,0.414,0,0,0,0,0,0,0,1
ANDW,0.69,18.1,-23.99,0.805,23.94,10.77,14756930,0.756,0,0,0,0,0,0,0,1
RBK,0.87,19.95,-3.27,1.028,12,16.74,11763720,1.663,0,0,0,1,0,0,0,0
NSI,0.73,18.14,-9.86,0.235,27.99,4,7471680,0.648,0,0,0,0,0,1,0,0
